temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_reaction_4,rate_3_diff_reaction_5,rate_3_diff_cumulative,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_reaction_4,rate_5_diff_reaction_5,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_reaction_4,rate_10_diff_reaction_5,rate_10_diff_cumulative
30.069,100,100,100,0,0,0,7.05E-07,1.62E-11,4.89E-07,4.00E-274,1.58E-48,3.37E-38,1.19E-06,9.77E-08,6.28E-21,5.43E-08,1.63E-182,3.17E-51,2.06E-32,1.52E-07,5.30E-08,2.18E-12,1.57E-10,2.11E-172,1.99E-80,3.33E-42,5.31E-08
31.02392,99.50304,100.40582,99.36246,-0.004995235,-0.014430679,-0.077253354,7.53E-07,1.80E-11,5.13E-07,2.70E-273,2.18E-48,4.27E-38,1.27E-06,1.05E-07,7.60E-21,5.72E-08,5.37E-182,4.35E-51,2.50E-32,1.62E-07,5.70E-08,2.41E-12,1.68E-10,6.10E-172,3.21E-80,4.23E-42,5.72E-08
31.97883,99.50781,100.4196,99.43623,-0.007843589,0.005812005,0.019938843,8.04E-07,1.99E-11,5.39E-07,1.82E-272,2.99E-48,5.43E-38,1.34E-06,1.13E-07,9.20E-21,6.03E-08,1.77E-181,5.98E-51,3.02E-32,1.73E-07,6.14E-08,2.66E-12,1.80E-10,1.76E-171,5.17E-80,5.37E-42,6.16E-08
32.93375,99.5153,100.41405,99.41719,-0.043742342,-0.008524364,-0.014985705,8.59E-07,2.21E-11,5.65E-07,1.23E-271,4.12E-48,6.89E-38,1.42E-06,1.22E-07,1.11E-20,6.36E-08,5.85E-181,8.22E-51,3.66E-32,1.85E-07,6.60E-08,2.94E-12,1.93E-10,5.09E-171,8.34E-80,6.82E-42,6.62E-08
33.88866,99.55707,100.42219,99.4315,0.038422067,-0.000785406,-0.011341264,9.17E-07,2.46E-11,5.92E-07,8.32E-271,5.66E-48,8.75E-38,1.51E-06,1.31E-07,1.35E-20,6.71E-08,1.93E-180,1.13E-50,4.43E-32,1.98E-07,7.11E-08,3.25E-12,2.06E-10,1.47E-170,1.34E-79,8.66E-42,7.13E-08
34.84358,99.52038,100.42294,99.44233,-0.003581489,0.001214774,-0.026107172,9.80E-07,2.72E-11,6.21E-07,5.62E-270,7.78E-48,1.11E-37,1.60E-06,1.41E-07,1.63E-20,7.08E-08,6.36E-180,1.55E-50,5.36E-32,2.12E-07,7.65E-08,3.60E-12,2.21E-10,4.25E-170,2.17E-79,1.10E-41,7.67E-08
35.79849,99.5238,100.42178,99.46726,-0.044337792,0.030357675,-0.06237141,1.05E-06,3.02E-11,6.52E-07,3.79E-269,1.07E-47,1.41E-37,1.70E-06,1.52E-07,1.98E-20,7.46E-08,2.10E-179,2.14E-50,6.49E-32,2.26E-07,8.23E-08,3.98E-12,2.36E-10,1.23E-169,3.49E-79,1.40E-41,8.26E-08
36.75341,99.53396,100.4293,99.47569,-0.003332475,-0.002148901,-0.005063631,1.12E-06,3.35E-11,6.84E-07,2.56E-268,1.47E-47,1.79E-37,1.80E-06,1.63E-07,2.39E-20,7.87E-08,6.93E-179,2.94E-50,7.86E-32,2.42E-07,8.86E-08,4.40E-12,2.53E-10,3.55E-169,5.63E-79,1.77E-41,8.89E-08
37.70832,99.54967,100.42653,99.47536,-0.001548615,-0.003015012,-0.010464558,1.19E-06,3.72E-11,7.17E-07,1.73E-267,2.02E-47,2.27E-37,1.91E-06,1.76E-07,2.89E-20,8.30E-08,2.29E-178,4.04E-50,9.51E-32,2.59E-07,9.54E-08,4.86E-12,2.71E-10,1.03E-168,9.08E-79,2.25E-41,9.56E-08
38.66324,99.53658,100.43371,99.48997,-0.00291787,-0.00107898,-0.005734374,1.27E-06,4.13E-11,7.52E-07,1.17E-266,2.78E-47,2.89E-37,2.03E-06,1.89E-07,3.50E-20,8.75E-08,7.54E-178,5.55E-50,1.15E-31,2.77E-07,1.03E-07,5.38E-12,2.90E-10,2.96E-168,1.46E-78,2.86E-41,1.03E-07
